tsa(r) ni713 sna2+31 yjan(rf),,dentro de tres años  ,,,SMC-2010_06_29-txt-GC-RQL-jdm-01[09_262-09_273].wav,SMC-2010_06_29-txt-GC-RQL-jdm-01.wav,SMC-2010_06_29-txt-GC-RQL-HRV-jdm-01.eaf,,9:26.2,9:27.3,0:01.1,566170,567310,1140
,lo(r) tne3,,en la sangre,,SMC-2010_06_29-txt-GC-RQL-jdm-01[06_251-06_256].wav,SMC-2010_06_29-txt-GC-RQL-jdm-01.wav,SMC-2010_06_29-txt-GC-RQL-HRV-jdm-01.eaf,,6:25.1,6:25.6,0:00.5,385100,385560,460
jun13-jun731,,si,,,SMC-2010_06_29-txt-GC-RQL-jdm-01[05_405-05_410].wav,SMC-2010_06_29-txt-GC-RQL-jdm-01.wav,SMC-2010_06_29-txt-GC-RQL-HRV-jdm-01.eaf,,5:40.5,5:41.0,0:00.5,340530,340980,450
li13-nu31(r),,aquilino,,,SMC-2010_06_29-txt-GC-RQL-jdm-01[04_573-04_579].wav,SMC-2010_06_29-txt-GC-RQL-jdm-01.wav,SMC-2010_06_29-txt-GC-RQL-HRV-jdm-01.eaf,,4:57.3,4:57.9,0:00.6,297310,297910,600
,7aan3,,aa,,SMC-2010_06_29-txt-GC-RQL-jdm-01[15_209-15_216].wav,SMC-2010_06_29-txt-GC-RQL-jdm-01.wav,SMC-2010_06_29-txt-GC-RQL-HRV-jdm-01.eaf,,15:20.9,15:21.6,0:00.7,920930,921640,710
tyee731-ti(r)-7a13(31),,se tarda,,,SMC-2010_06_29-txt-GC-RQL-jdm-01[12_078-12_083].wav,SMC-2010_06_29-txt-GC-RQL-jdm-01.wav,SMC-2010_06_29-txt-GC-RQL-HRV-jdm-01.eaf,,12:07.8,12:08.3,0:00.6,727770,728320,550
ja(r)-kwa(r) koo731,,cuatros meses,,,SMC-2010_06_29-txt-GC-RQL-jdm-01[11_368-11_379].wav,SMC-2010_06_29-txt-GC-RQL-jdm-01.wav,SMC-2010_06_29-txt-GC-RQL-HRV-jdm-01.eaf,,11:36.8,11:37.9,0:01.1,696800,697900,1100
ka(rr)-cha713 7in31-yu(r),,según ellos,,,SMC-2010_06_29-txt-GC-RQL-jdm-01[13_225-13_232].wav,SMC-2010_06_29-txt-GC-RQL-jdm-01.wav,SMC-2010_06_29-txt-GC-RQL-HRV-jdm-01.eaf,,13:22.5,13:23.2,0:00.7,802460,803170,710
,7aan3,,si,,SMC-2010_06_29-txt-GC-RQL-jdm-01[01_481-01_486].wav,SMC-2010_06_29-txt-GC-RQL-jdm-01.wav,SMC-2010_06_29-txt-GC-RQL-HRV-jdm-01.eaf,,1:48.1,1:48.6,0:00.6,108070,108640,570
"ta2+0-syu23, ne7(r)-jylyo(rf) ta2+0-syu23 7a2+0-ya13-la31",,"Anastacio, el finado de Anastacio Ayala",,,SMC-2010_06_29-txt-GC-RQL-jdm-01[02_404-02_419].wav,SMC-2010_06_29-txt-GC-RQL-jdm-01.wav,SMC-2010_06_29-txt-GC-RQL-HRV-jdm-01.eaf,,2:40.4,2:41.9,0:01.6,160360,161950,1590
,"7aan3, nu(r) ntyka2+0-ti13-yu(r) jyni1+31-cha713-yu(r) 7in0~2f-un2f nu(r)-nga(rr) ni(r)-nkwa(r) yjan(rf) ns7wi(r)-un2f",,lo que el quiere preguntar a usted pues ¿cuantos años tiene usted?,,SMC-2010_06_29-txt-GC-RQL-jdm-01[00_008-00_044].wav,SMC-2010_06_29-txt-GC-RQL-jdm-01.wav,SMC-2010_06_29-txt-GC-RQL-HRV-jdm-01.eaf,,0:00.8,0:04.4,0:03.6,790,4430,3640
"tii2+31-tykwa1+31 nu(r) nkjwi3, tii2+31-xna1+31 l7o31 li13-nu31(r),  ja2+0 nkjwi3-7a31 kan73 ti713 mtyka34 kan73",,"doce son los que se murieron, trece con aquilino, ya no murió él, todavía se recuperó él",,,SMC-2010_06_29-txt-GC-RQL-jdm-01[05_364-05_393].wav,SMC-2010_06_29-txt-GC-RQL-jdm-01.wav,SMC-2010_06_29-txt-GC-RQL-HRV-jdm-01.eaf,,5:36.4,5:39.3,0:02.9,336420,339310,2890
ndlya(rf) tye3 7in31 si(r)-lya2+0,,todos los jefes de auxiliares,,,SMC-2010_06_29-txt-GC-RQL-jdm-01[02_510-02_524].wav,SMC-2010_06_29-txt-GC-RQL-jdm-01.wav,SMC-2010_06_29-txt-GC-RQL-HRV-jdm-01.eaf,,2:51.0,2:52.4,0:01.4,170970,172390,1420
tsa(r) kwa13 yan3 di(r)-ge(r)-nye(r)-ro23 xan713 nu(r) ns7wa2+0-kya713-yu(r) nu(r)-nga(rr),,"asi también vino el ingeniero entonces, que midió este...",,,SMC-2010_06_29-txt-GC-RQL-jdm-01[02_201-02_225].wav,SMC-2010_06_29-txt-GC-RQL-jdm-01.wav,SMC-2010_06_29-txt-GC-RQL-HRV-jdm-01.eaf,,2:20.1,2:22.5,0:02.4,140130,142540,2410
